taxon_input,accepted_name,aphia_id,rank,taxon_status,functional_role_str,pocillopora_association,max_length_mm,depth_min_m,depth_max_m,range_summary,n_sources,notes
Actaeodes hirsutissimus,Actaeodes hirsutissimus,209051.0,species,accepted,unknown,unknown,,,,unknown,1,
Alpheopsis aequalis,Alpheopsis aequalis,220235.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus clypeatus,Alpheus clypeatus,210529.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus collumianus,Alpheus collumianus,210504.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus diadema,Alpheus diadema,210518.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus dolerus,Alpheus dolerus,514864.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus gracilipes,Alpheus gracilipes,210514.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus lottini,Alpheus lottini,210544.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus obesomanus,Alpheus obesomanus,210535.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus pachychirus,Alpheus pachychirus,210547.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus paracrinitus,Alpheus paracrinitus,210522.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus parvirostris,Alpheus parvirostris,210506.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus roseodigitalis,Alpheus roseodigitalis,514959.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus sizou,Alpheus sizou,514966.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus staphylinus,Alpheus staphylinus,514973.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus strenuus,Alpheus strenuus,210517.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Amphipholis squamata,Amphipholis squamata,125064.0,species,accepted,unknown,unknown,,,,unknown,1,
Anarithma metula,Anarithma metula,594417.0,species,accepted,unknown,unknown,,,,unknown,1,
Antennatus tuberosus,Antennatus tuberosus,217855.0,species,accepted,unknown,unknown,,,,unknown,1,
Apataxia cerithiiformis,Apataxia cerithiiformis,871015.0,species,accepted,unknown,unknown,,,,unknown,1,
Arete indicus,Arete indicus,221011.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Astralium confragosum,Astralium confragosum,581743.0,species,accepted,unknown,unknown,,,,unknown,1,
Athanas areteformis,Athanas areteformis,210463.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Athanas djiboutensis,Athanas djiboutensis,210466.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Athanas marshallensis,Athanas marshallensis,210468.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Bittium glareosum,Bittium glareosum,207905.0,species,accepted,unknown,unknown,,,,unknown,1,
Bittium impendens,Bittium impendens,473076.0,species,accepted,unknown,unknown,,,,unknown,1,
Breviturma dentata,Breviturma dentata,1214745.0,species,accepted,unknown,unknown,,,,unknown,1,
Breviturma pica,Breviturma pica,1306674.0,species,accepted,unknown,unknown,,,,unknown,1,
Bulla orientalis,Bulla orientalis,510402.0,species,accepted,unknown,unknown,,,,unknown,1,
Caducifer decapitatus,Caducifer decapitatus,490878.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus gouti,Calcinus gouti,367437.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus guamensis,Calcinus guamensis,367438.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus laevimanus,Calcinus laevimanus,208669.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus latens,Calcinus latens,208677.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus morgani,Calcinus morgani,367449.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus nitidus,Calcinus nitidus,208675.0,species,accepted,unknown,unknown,,,,unknown,1,
Calcinus seurati,Calcinus seurati,208674.0,species,accepted,unknown,unknown,,,,unknown,1,
Caracanthus maculatus,Caracanthus maculatus,220364.0,species,accepted,predator,facultative,,,,unknown,1,
Carpilius convexus,Carpilius convexus,209150.0,species,accepted,unknown,unknown,,,,unknown,1,
Cerithium nesioticum,Cerithium nesioticum,139061.0,species,accepted,unknown,unknown,,,,unknown,1,
Cerithium punctatum,Cerithium punctatum,216677.0,species,accepted,unknown,unknown,,,,unknown,1,
Cerithium zebrum,Cerithium zebrum,216673.0,species,accepted,unknown,unknown,,,,unknown,1,
Chlorocurtis jactans,Chlorocurtis jactans,515421.0,species,accepted,unknown,unknown,,,,unknown,1,
Chlorodiella barbata,Chlorodiella barbata,209139.0,species,accepted,unknown,unknown,,,,unknown,1,
Chlorodiella cytherea,Chlorodiella cytherea,209138.0,species,accepted,unknown,unknown,,,,unknown,1,
Chlorodiella laevissima,Chlorodiella laevissima,209137.0,species,accepted,unknown,unknown,,,,unknown,1,
Chromodoris aspersa,Chromodoris aspersa,558319.0,species,accepted,unknown,unknown,,,,unknown,1,
Chrysiptera brownriggii,Chrysiptera brownriggii,276827.0,species,accepted,unknown,unknown,,,,unknown,1,
Ciliopagurus strigatus,Ciliopagurus strigatus,246257.0,species,accepted,unknown,unknown,,,,unknown,1,
Conus lividus,Conus lividus,215541.0,species,accepted,unknown,unknown,,,,unknown,1,
Coralliogalathea humilis,Coralliogalathea humilis,392201.0,species,accepted,corallivore; commensal,facultative,,,,unknown,1,
Crepidula fornicata,Crepidula fornicata,138963.0,species,accepted,unknown,unknown,,,,unknown,1,
Cyclodius nitidus,Cyclodius nitidus,444088.0,species,accepted,unknown,unknown,,,,unknown,1,
Cymo quadrilobatus,Cymo quadrilobatus,208972.0,species,accepted,unknown,unknown,,,,unknown,1,
Daira perlata,Daira perlata,107426.0,species,accepted,unknown,unknown,,,,unknown,1,
Dascyllus flavicaudus,Dascyllus flavicaudus,278450.0,species,accepted,unknown,unknown,,,,unknown,1,
Dendrodoris nigra,Dendrodoris nigra,139519.0,species,accepted,unknown,unknown,,,,unknown,1,
Diala albugo,Diala albugo,547187.0,species,accepted,unknown,unknown,,,,unknown,1,
Domecia glabra,Domecia glabra,209147.0,species,accepted,unknown,unknown,,,,unknown,1,
Domecia hispida,Domecia hispida,209146.0,species,accepted,unknown,unknown,,,,unknown,1,
Enchelyurus ater,Enchelyurus ater,276882.0,species,accepted,unknown,unknown,,,,unknown,1,
Epigrapsus politus,Epigrapsus politus,,species,unresolved,unknown,unknown,,,,unknown,0,WoRMS match failed for Epigrapsus politus. 
Euplica varians,Euplica varians,511782.0,species,accepted,unknown,unknown,,,,unknown,1,
Galathea mauritiana,Galathea mauritiana,210093.0,species,accepted,commensal; filter_feeder,facultative,,,,unknown,1,
Galathea pilosa,Galathea pilosa,392250.0,species,accepted,commensal; filter_feeder,facultative,,,,unknown,1,
Galathea spinosorostris,Galathea spinosorostris,392258.0,species,accepted,commensal; filter_feeder,facultative,,,,unknown,1,
Galeropsis monodonta,Galeropsis monodonta,724109.0,species,accepted,unknown,unknown,,,,unknown,1,
Garthiella aberrans,Garthiella aberrans,444091.0,species,accepted,unknown,unknown,,,,unknown,1,
Gobiodon unicolor,Gobiodon unicolor,276935.0,species,accepted,commensal; mucus_feeder,obligate,,,,unknown,1,
Goniosupradens obtusifrons,Goniosupradens obtusifrons,1358824.0,species,accepted,unknown,unknown,,,,unknown,1,
Gonodactylellus espinosus,Gonodactylellus espinosus,408908.0,species,accepted,unknown,unknown,,,,unknown,1,
Hargeria rapax,Hargeria rapax,247538.0,species,accepted,unknown,unknown,,,,unknown,1,
Harpiliopsis beaupresii,Harpiliopsis beaupresii,220132.0,species,accepted,commensal,facultative,,,,unknown,1,
Harpiliopsis depressa,Harpiliopsis depressa,220131.0,species,accepted,commensal,facultative,,,,unknown,1,
Harpiliopsis spinigera,Harpiliopsis spinigera,220130.0,species,accepted,commensal,facultative,,,,unknown,1,
Hemilienardia malleti,Hemilienardia malleti,217103.0,species,accepted,unknown,unknown,,,,unknown,1,
Imbricariopsis punctata,Imbricariopsis punctata,1061679.0,species,accepted,unknown,unknown,,,,unknown,1,
Jacforus cavatus,Jacforus cavatus,444268.0,species,accepted,unknown,unknown,,,,unknown,1,
Labroides dimidiatus,Labroides dimidiatus,219014.0,species,accepted,unknown,unknown,,,,unknown,1,
Liocarpilodes integerrimus,Liocarpilodes integerrimus,209142.0,species,accepted,unknown,unknown,,,,unknown,1,
Liomera bella,Liomera bella,208982.0,species,accepted,unknown,unknown,,,,unknown,1,
Liomera tristis,Liomera tristis,208992.0,species,accepted,unknown,unknown,,,,unknown,1,
Lophocochlias minutissimus,Lophocochlias minutissimus,730993.0,species,unaccepted,unknown,unknown,,,,unknown,1,
Lophozozymus anaglyptus,Lophozozymus anaglyptus,444376.0,species,accepted,unknown,unknown,,,,unknown,1,
Lovellona atramentosa,Lovellona atramentosa,428917.0,species,accepted,unknown,unknown,,,,unknown,1,
Luniella pugil,Luniella pugil,881754.0,species,accepted,unknown,unknown,,,,unknown,1,
Luria isabella,Luria isabella,216862.0,species,accepted,unknown,unknown,,,,unknown,1,
Macrophiothrix longipeda,Macrophiothrix longipeda,213195.0,species,accepted,unknown,unknown,,,,unknown,1,
Macteola interrupta,Macteola interrupta,434315.0,species,accepted,unknown,unknown,,,,unknown,1,
Mitrella moleculina,Mitrella moleculina,511534.0,species,accepted,unknown,unknown,,,,unknown,1,
Morula uva,Morula uva,600713.0,species,accepted,unknown,unknown,,,,unknown,1,
Morula zebrina,Morula zebrina,744853.0,species,accepted,unknown,unknown,,,,unknown,1,
Neocirrhites armatus,Neocirrhites armatus,281678.0,species,accepted,unknown,unknown,,,,unknown,1,
Onycocaris amakusensis,Onycocaris amakusensis,208746.0,species,accepted,unknown,unknown,,,,unknown,1,
Ophiactis savignyi,Ophiactis savignyi,125122.0,species,accepted,unknown,unknown,,,,unknown,1,
Ophiocoma erinaceus,Ophiocoma erinaceus,212371.0,species,accepted,detritivore; scavenger,facultative,,,,unknown,1,
Ophiocoma schoenleinii,Ophiocoma schoenleinii,212372.0,species,accepted,detritivore; scavenger,facultative,,,,unknown,1,
Ophiocomella sexradia,Ophiocomella sexradia,213452.0,species,accepted,unknown,unknown,,,,unknown,1,
Ophioconis permixta,Ophioconis permixta,238160.0,species,accepted,unknown,unknown,,,,unknown,1,
Ophiomastix elegans,Ophiomastix elegans,1306667.0,species,accepted,detritivore; scavenger,facultative,,,,unknown,1,
Pagurixus nomurai,Pagurixus nomurai,366635.0,species,accepted,unknown,unknown,,,,unknown,1,
Pagurixus ruber,Pagurixus ruber,366640.0,species,accepted,unknown,unknown,,,,unknown,1,
Palaemon concinnus,Palaemon concinnus,220149.0,species,accepted,unknown,unknown,,,,unknown,1,
Palapedia serenei,Palapedia serenei,444186.0,species,accepted,unknown,unknown,,,,unknown,1,
Paracirrhites arcatus,Paracirrhites arcatus,218866.0,species,accepted,predator,facultative,,,,unknown,1,
Paractaea rufopunctata,Paractaea rufopunctata,209046.0,species,accepted,unknown,unknown,,,,unknown,1,
Paragobiodon lacunicolus,Paragobiodon lacunicolus,219536.0,species,accepted,commensal; mucus_feeder,obligate,,,,unknown,1,
Paragobiodon modestus,Paragobiodon modestus,219538.0,species,accepted,commensal; mucus_feeder,obligate,,,,unknown,1,
Parelasmopus suensis,Parelasmopus suensis,534810.0,species,accepted,unknown,unknown,,,,unknown,1,
Pascula muricata,Pascula muricata,408071.0,species,accepted,unknown,unknown,,,,unknown,1,
Periclimenaeus tridentatus,Periclimenaeus tridentatus,220170.0,species,accepted,unknown,unknown,,,,unknown,1,
Periclimenes watamuae,Periclimenes watamuae,210617.0,species,accepted,unknown,unknown,,,,unknown,1,
Perinia tumida,Perinia tumida,217318.0,species,accepted,unknown,unknown,,,,unknown,1,
Peristernia nassatula,Peristernia nassatula,208048.0,species,accepted,unknown,unknown,,,,unknown,1,
Phylladiorhynchus integrirostris,Phylladiorhynchus integrirostris,392678.0,species,accepted,unknown,unknown,,,,unknown,1,
Pollia wagneri,Pollia wagneri,217064.0,species,accepted,unknown,unknown,,,,unknown,1,
Psaumis cavipes,Psaumis cavipes,209048.0,species,accepted,unknown,unknown,,,,unknown,1,
Pseudobiceros damawan,Pseudobiceros damawan,878949.0,species,accepted,unknown,unknown,,,,unknown,1,
Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,208915.0,species,accepted,unknown,unknown,,,,unknown,1,
Pseudoliomera speciosa,Pseudoliomera speciosa,209016.0,species,accepted,unknown,unknown,,,,unknown,1,
Pseudoliomera variolosa,Pseudoliomera variolosa,209010.0,species,accepted,unknown,unknown,,,,unknown,1,
Purpuradusta fimbriata,Purpuradusta fimbriata,390567.0,species,accepted,unknown,unknown,,,,unknown,1,
Quadrimaera quadrimana,Quadrimaera quadrimana,421523.0,species,accepted,unknown,unknown,,,,unknown,1,
Raoulserenea ornata,Raoulserenea ornata,409008.0,species,accepted,unknown,unknown,,,,unknown,1,
Rissoina ambigua,Rissoina ambigua,216954.0,species,accepted,unknown,unknown,,,,unknown,1,
Rissoina heronensis,Rissoina heronensis,833610.0,species,accepted,unknown,unknown,,,,unknown,1,
Rugathanas borradailei,Rugathanas borradailei,515086.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Saron marmoratus,Saron marmoratus,210450.0,species,accepted,unknown,unknown,,,,unknown,1,
Saron neglectus,Saron neglectus,210451.0,species,accepted,unknown,unknown,,,,unknown,1,
Stomatella auricula,Stomatella auricula,527557.0,species,accepted,unknown,unknown,,,,unknown,1,
Stomatolina rubra,Stomatolina rubra,213528.0,species,accepted,unknown,unknown,,,,unknown,1,
Strigatella assimilis,Strigatella assimilis,890213.0,species,accepted,unknown,unknown,,,,unknown,1,
Synalpheus charon,Synalpheus charon,210494.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Tetralia ocucaerulea,Tetralia ocucaerulea,443860.0,species,accepted,unknown,unknown,,,,unknown,1,
Thalamita coeruleipes,Thalamita coeruleipes,208876.0,species,superseded combination,unknown,unknown,,,,unknown,1,
Thalamita pseudopelsarti,Thalamita pseudopelsarti,387555.0,species,superseded combination,unknown,unknown,,,,unknown,1,
Thalassoma hardwicke,Thalassoma hardwicke,212217.0,species,accepted,unknown,unknown,,,,unknown,1,
Thinora maldivensis,Thinora maldivensis,515341.0,species,superseded combination,unknown,unknown,,,,unknown,1,
Trapezia areolata,Trapezia areolata,443874.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia bella,Trapezia bella,210185.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia bidentata,Trapezia bidentata,443875.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia flavopunctata,Trapezia flavopunctata,210177.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia guttata,Trapezia guttata,210175.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia punctimanus,Trapezia punctimanus,443883.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia rufopunctata,Trapezia rufopunctata,210187.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia serenei,Trapezia serenei,443886.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia speciosa,Trapezia speciosa,210184.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Trapezia tigrina,Trapezia tigrina,210186.0,species,accepted,mutualist/defender; grazer/herbivore,obligate,,,,unknown,1,
Vexillum tusum,Vexillum tusum,758960.0,species,accepted,unknown,unknown,,,,unknown,1,
Xanthias canaliculatus,Xanthias canaliculatus,209094.0,species,accepted,unknown,unknown,,,,unknown,1,
Xanthias lamarckii,Xanthias lamarckii,444335.0,species,accepted,unknown,unknown,,,,unknown,1,
Xanthias latifrons,Xanthias latifrons,209103.0,species,accepted,unknown,unknown,,,,unknown,1,
Alpheus,Alpheus,106978.0,genus,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Ampithoe,Ampithoe,101459.0,genus,accepted,unknown,unknown,,,,unknown,1,
Axiopsis,Axiopsis,246229.0,genus,accepted,unknown,unknown,,,,unknown,1,
Calcinus,Calcinus,106840.0,genus,accepted,unknown,unknown,,,,unknown,1,
Cerithium,Cerithium,137760.0,genus,accepted,unknown,unknown,,,,unknown,1,
Cherusius,Cherusius,881699.0,genus,accepted,unknown,unknown,,,,unknown,1,
Chlorodiella,Chlorodiella,205384.0,genus,accepted,unknown,unknown,,,,unknown,1,
Clathurella,Clathurella,205792.0,genus,accepted,unknown,unknown,,,,unknown,1,
Collonia,Collonia,225659.0,genus,accepted,unknown,unknown,,,,unknown,1,
Cuapetes,Cuapetes,513994.0,genus,accepted,unknown,unknown,,,,unknown,1,
Diodora,Diodora,138011.0,genus,accepted,unknown,unknown,,,,unknown,1,
Discias,Discias,240676.0,genus,accepted,unknown,unknown,,,,unknown,1,
Elasmopus,Elasmopus,101671.0,genus,accepted,unknown,unknown,,,,unknown,1,
Eunice,Eunice,129278.0,genus,accepted,predator; scavenger,facultative,,,,unknown,1,
Eviota,Eviota,205965.0,genus,accepted,commensal,facultative,,,,unknown,1,
Fennera,Fennera,206310.0,genus,accepted,unknown,unknown,,,,unknown,1,
Gammaropsis,Gammaropsis,101558.0,genus,accepted,unknown,unknown,,,,unknown,1,
Hapalocarcinus,Hapalocarcinus,205812.0,genus,accepted,unknown,unknown,,,,unknown,1,
Harpiliopsis,Harpiliopsis,204789.0,genus,accepted,commensal,facultative,,,,unknown,1,
Hauchiella,Hauchiella,152388.0,genus,accepted,unknown,unknown,,,,unknown,1,
Hesione,Hesione,129308.0,genus,accepted,unknown,unknown,,,,unknown,1,
Iphione,Iphione,206125.0,genus,accepted,unknown,unknown,,,,unknown,1,
Leocrates,Leocrates,129312.0,genus,accepted,unknown,unknown,,,,unknown,1,
Liomera,Liomera,205014.0,genus,accepted,unknown,unknown,,,,unknown,1,
Lysidice,Lysidice,129280.0,genus,accepted,unknown,unknown,,,,unknown,1,
Maera,Maera,101675.0,genus,accepted,unknown,unknown,,,,unknown,1,
Microprosthema,Microprosthema,205426.0,genus,accepted,unknown,unknown,,,,unknown,1,
Nikoides,Nikoides,204120.0,genus,accepted,unknown,unknown,,,,unknown,1,
Notopygos,Notopygos,129190.0,genus,accepted,unknown,unknown,,,,unknown,1,
Notospermus,Notospermus,122375.0,genus,accepted,unknown,unknown,,,,unknown,1,
Ophiocoma,Ophiocoma,123592.0,genus,accepted,detritivore; scavenger,facultative,,,,unknown,1,
Ophiozonella,Ophiozonella,123573.0,genus,accepted,unknown,unknown,,,,unknown,1,
Oreotlos,Oreotlos,439441.0,genus,accepted,unknown,unknown,,,,unknown,1,
Pagurixus,Pagurixus,204996.0,genus,accepted,unknown,unknown,,,,unknown,1,
Paragrubia,Paragrubia,205000.0,genus,accepted,unknown,unknown,,,,unknown,1,
Pascula,Pascula,205373.0,genus,accepted,unknown,unknown,,,,unknown,1,
Periclimenaeus,Periclimenaeus,205820.0,genus,accepted,unknown,unknown,,,,unknown,1,
Periclimenes,Periclimenes,107035.0,genus,accepted,unknown,unknown,,,,unknown,1,
Prionalpheus,Prionalpheus,514039.0,genus,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Rissoina,Rissoina,138457.0,genus,accepted,unknown,unknown,,,,unknown,1,
Scorpaenodes,Scorpaenodes,126172.0,genus,accepted,unknown,unknown,,,,unknown,1,
Trivirostra,Trivirostra,206759.0,genus,accepted,unknown,unknown,,,,unknown,1,
Unciola,Unciola,101474.0,genus,accepted,unknown,unknown,,,,unknown,1,
Vexillum,Vexillum,137846.0,genus,accepted,unknown,unknown,,,,unknown,1,
Zafra,Zafra,182802.0,genus,accepted,unknown,unknown,,,,unknown,1,
Alpheidae,Alpheidae,106776.0,family,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Amphinomidae,Amphinomidae,960.0,family,accepted,unknown,unknown,,,,unknown,1,
Axiidae,Axiidae,106798.0,family,accepted,unknown,unknown,,,,unknown,1,
Capitellidae,Capitellidae,921.0,family,accepted,unknown,unknown,,,,unknown,1,
Columbellidae,Columbellidae,23009.0,family,accepted,unknown,unknown,,,,unknown,1,
Cypraeidae,Cypraeidae,23022.0,family,accepted,unknown,unknown,,,,unknown,1,
Diogenidae,Diogenidae,106736.0,family,accepted,unknown,unknown,,,,unknown,1,
Eunicidae,Eunicidae,966.0,family,accepted,unknown,unknown,,,,unknown,1,
Galatheidae,Galatheidae,106733.0,family,accepted,unknown,unknown,,,,unknown,1,
Glyceridae,Glyceridae,952.0,family,accepted,unknown,unknown,,,,unknown,1,
Gobiidae,Gobiidae,125537.0,family,accepted,commensal,facultative,,,,unknown,1,
Hesionidae,Hesionidae,946.0,family,accepted,unknown,unknown,,,,unknown,1,
Hippolytidae,Hippolytidae,106777.0,family,accepted,unknown,unknown,,,,unknown,1,
Hipponicidae,Hipponicidae,23057.0,family,accepted,unknown,unknown,,,,unknown,1,
Labridae,Labridae,125541.0,family,accepted,unknown,unknown,,,,unknown,1,
Leucothoidae,Leucothoidae,101393.0,family,accepted,unknown,unknown,,,,unknown,1,
Majidae,Majidae,106760.0,family,accepted,unknown,unknown,,,,unknown,1,
Marginellidae,Marginellidae,23025.0,family,accepted,unknown,unknown,,,,unknown,1,
Melitidae,Melitidae,101397.0,family,accepted,unknown,unknown,,,,unknown,1,
Muricidae,Muricidae,148.0,family,accepted,unknown,unknown,,,,unknown,1,
Nereididae,Nereididae,22496.0,family,accepted,unknown,unknown,,,,unknown,1,
Opheliidae,Opheliidae,924.0,family,accepted,unknown,unknown,,,,unknown,1,
Paguridae,Paguridae,106738.0,family,accepted,unknown,unknown,,,,unknown,1,
Palaemonidae,Palaemonidae,106788.0,family,accepted,unknown,unknown,,,,unknown,1,
Phyllodocidae,Phyllodocidae,931.0,family,accepted,unknown,unknown,,,,unknown,1,
Pilumnidae,Pilumnidae,106766.0,family,accepted,unknown,unknown,,,,unknown,1,
Polynoidae,Polynoidae,939.0,family,accepted,unknown,unknown,,,,unknown,1,
Spionidae,Spionidae,913.0,family,accepted,unknown,unknown,,,,unknown,1,
Syllidae,Syllidae,948.0,family,accepted,unknown,unknown,,,,unknown,1,
Terebellidae,Terebellidae,982.0,family,accepted,unknown,unknown,,,,unknown,1,
Triphoridae,Triphoridae,131.0,family,accepted,unknown,unknown,,,,unknown,1,
Trochidae,Trochidae,443.0,family,accepted,unknown,unknown,,,,unknown,1,
Xanthidae,Xanthidae,106769.0,family,accepted,unknown,unknown,,,,unknown,1,
Coralliophilinae,Coralliophilinae,411789.0,subfamily,accepted,unknown,unknown,,,,unknown,1,
Ophiolepis cincta cincta,Ophiolepis cincta cincta,224123.0,subspecies,accepted,unknown,unknown,,,,unknown,1,
